TILEMAP
20 15 							-- Size of tile map in tiles
32 32 							-- Tile size & block size
images/tiles.png 	-- Tilesheet
6 4 								-- Number of tiles in tilesheet
11,10,11,10, , , , ,11,10,11,15,16,16, , , ,17,11,10,
5,5, , , , , , ,11,10,11,15,16,16, , , , ,11,10,
11,13, , , , , , , , , , , , , , , ,15,11,10,
11,13, , , , , , , , , , , , , ,2,2,2,11,10,
11,13, , , , , , , , , , , , , , , , ,11,10,
11,2,2,2,2,2, , , , , , , , , , , , ,11,10,
11,10,11,10,11,10, , , , , , , , , , ,2,2,11,10,
 , , , , , , , , , , , , , , , , , ,11,10,
 , , , , , , , , , , , ,19, , , , , ,11,10,
 , , , , , , , , ,2,2,2,2,15, , , , ,11,10,
 , , , ,2,2, , , ,10,11,10,11,15, , , , ,11,10,
 , , , ,11,10, , , ,10,8,8,11, , , , ,22,11,10,
2,2,2,2,11,10, , , ,10,9,9,11,18,18,18,18,18,11,10,
11,10,11,10,11,10,18,18,18,10,11,10,11,10,11,10,11,10,11,10,
11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,
