TILEMAP
20 15 							-- Size of tile map in tiles
32 32 							-- Tile size & block size
images/tiles.png 	-- Tilesheet
6 4 								-- Number of tiles in tilesheet
10,9,10,9,-1,-1,-1,-1,10,9,10,14,15,15,-1,-1,-1,16,10,9,
4,4,-1,-1,-1,-1,-1,-1,10,9,10,14,15,15,-1,-1,-1,-1,10,9,
10,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,10,9,
10,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,10,9,
10,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,
10,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,
10,9,10,9,10,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,10,9,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, ,10,9,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,14,-1,-1,-1,-1,10,9,
-1,-1,-1,-1,1,1,-1,-1,-1,9,10,9,10,14,-1,-1,-1,-1,10,9,
-1,-1,-1,-1,10,9,-1,-1,-1,9,7,7,10,-1,-1,-1,-1,-1,10,9,
1,1,1,1,10,9,-1,-1,-1,9,8,8,10,17,17,17,17,17,10,9,
10,9,10,9,10,9,17,17,17,9,10,9,10,9,10,9,10,9,10,9,
10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,
